City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,bredasdorp,-34.5322,20.0403,295.84,295.84,1,1.42,ZA,1675532186
78,qaanaaq,77.484,-69.3632,254.55,254.55,90,3.24,GL,1675532153
79,byron bay,-28.65,153.6167,297.01,297.01,99,3.82,AU,1675532333
80,port elizabeth,-33.918,25.5701,296.66,296.66,20,7.72,ZA,1675532151
81,kabarnet,0.4919,35.743,290.33,290.33,97,2.5,KE,1675532333
82,ponazyrevo,58.3578,46.3142,263.57,263.57,98,1.3,RU,1675532333
83,erzurum,40.0,41.5,262.97,262.97,100,1.5,TR,1675532334
84,geraldton,-28.7667,114.6,296.38,296.38,100,4.12,AU,1675532334
85,talnakh,69.4865,88.3972,258.68,258.68,100,2.73,RU,1675532202
86,adrar,20.5022,-10.0711,293.17,293.17,94,4.82,MR,1675532335
87,kulunda,52.566,78.9385,250.22,250.22,86,1.61,RU,1675532335
88,victoria,22.2855,114.1577,291.18,291.18,100,3.58,HK,1675532189
89,senneterre,48.3835,-77.2328,255.17,255.17,100,4.92,CA,1675532335
90,hilo,19.7297,-155.09,294.6,294.6,75,2.68,US,1675532309
91,biak,-0.9131,122.8766,297.57,297.57,98,1.7,ID,1675532314
92,broome,42.2506,-75.833,262.64,262.64,92,3.62,US,1675532336
93,avarua,-21.2078,-159.775,300.18,300.18,40,5.66,CK,1675532336
94,clyde river,70.4692,-68.5914,242.28,242.28,75,3.09,CA,1675532051
95,busselton,-33.65,115.3333,297.24,297.24,89,3.9,AU,1675532114
96,coquimbo,-29.9533,-71.3436,293.0,293.0,75,4.12,CL,1675532336
97,carangola,-20.7331,-42.0294,304.1,304.1,10,2.57,BR,1675532337
98,ban nahin,18.2418,104.2122,295.19,295.19,56,1.52,LA,1675532337
99,port lincoln,-34.7333,135.8667,288.05,288.05,3,1.76,AU,1675532263
100,tuktoyaktuk,69.4541,-133.0374,231.15,231.15,0,1.03,CA,1675532207
101,bainbridge,47.6262,-122.5212,282.75,282.75,100,2.06,US,1675532338
102,tucuma,-0.1833,-50.05,298.21,298.21,80,1.98,BR,1675532338
103,sabang,5.8933,95.3214,299.51,299.51,82,0.8,ID,1675532338
104,codrington,-38.2667,141.9667,287.69,287.69,99,3.47,AU,1675532249
105,seoul,37.5683,126.9778,269.84,269.84,0,2.06,KR,1675532339
106,santa marta,11.2408,-74.199,307.18,307.18,20,4.12,CO,1675532339
107,ugoofaaru,5.6667,73.0,300.22,300.22,100,1.88,MV,1675532295
108,maragogi,-9.0122,-35.2225,301.53,301.53,72,4.41,BR,1675532339
109,celestun,20.8667,-90.4,298.8,298.8,30,7.22,MX,1675532340
110,agirish,61.9247,63.0231,260.31,260.31,100,1.49,RU,1675532340
111,ancud,-41.8697,-73.8203,294.43,294.43,23,2.83,CL,1675532152
112,saint-philippe,-21.3585,55.7679,299.92,299.92,72,5.35,RE,1675532186
113,belogorsk,50.9158,128.4611,252.45,252.45,100,1.94,RU,1675532341
114,cabra,37.4725,-4.4421,283.16,283.16,0,0.43,ES,1675532341
115,savannah bight,16.45,-85.85,298.71,298.71,59,2.39,HN,1675532341
116,lompoc,34.6391,-120.4579,289.14,289.14,0,3.09,US,1675532343
117,ust-tsilma,65.441,52.1498,259.75,259.75,98,1.21,RU,1675532345
118,alice springs,-23.7,133.8833,286.9,286.9,1,0.0,AU,1675532284
119,fortuna,40.5982,-124.1573,285.36,285.36,0,7.2,US,1675532352
120,viedma,-40.8135,-62.9967,308.52,308.52,0,5.3,AR,1675532354
121,nanortalik,60.1432,-45.2371,271.02,271.02,100,15.04,GL,1675532250
122,denpasar,-8.65,115.2167,299.96,299.96,40,2.06,ID,1675532360
123,carnarvon,-24.8667,113.6333,298.72,298.72,3,2.48,AU,1675532363
124,jamestown,42.097,-79.2353,266.22,266.22,98,3.58,US,1675532331
125,kiruna,67.8557,20.2251,263.66,263.66,0,4.12,SE,1675532373
126,adre,13.4667,22.2,298.18,298.18,85,4.12,TD,1675532374
127,sisimiut,66.9395,-53.6735,252.99,252.99,99,3.47,GL,1675532374
128,kavaratti,10.5669,72.642,300.5,300.5,48,3.43,IN,1675532216
129,northam,51.0333,-4.2167,282.81,282.81,100,3.28,GB,1675532375
130,souillac,-20.5167,57.5167,299.36,299.36,40,3.09,MU,1675532149
131,klaksvik,62.2266,-6.589,277.66,277.66,58,13.22,FO,1675532375
132,lebu,-37.6167,-73.65,292.74,292.74,34,5.72,CL,1675532169
133,stornoway,58.2093,-6.3865,277.55,277.55,40,6.69,GB,1675532376
134,grindavik,63.8424,-22.4338,274.41,274.41,40,11.83,IS,1675532316
135,thompson,55.7435,-97.8558,249.24,249.24,75,2.06,CA,1675532272
136,koundara,12.4833,-13.3,310.25,310.25,11,2.54,GN,1675532376
137,nikolskoye,59.7035,30.7861,271.09,271.09,100,4.01,RU,1675532214
138,krasnoselkup,65.7,82.4667,258.31,258.31,91,3.48,RU,1675532377
139,cabedelo,-6.9811,-34.8339,303.52,303.52,88,5.9,BR,1675532276
140,bengkulu,-3.8004,102.2655,296.97,296.97,85,1.96,ID,1675532377
141,dargaville,-35.9333,173.8833,289.93,289.93,80,2.02,NZ,1675532377
142,rio gallegos,-51.6226,-69.2181,288.18,288.18,100,5.14,AR,1675532378
143,vestmannaeyjar,63.4427,-20.2734,275.7,275.7,75,15.43,IS,1675532378
144,bay roberts,47.5999,-53.2648,262.78,262.78,100,6.26,CA,1675532378
145,cape town,-33.9258,18.4232,298.08,298.08,0,5.66,ZA,1675532129
146,lasa,46.6166,10.7002,277.64,277.64,30,4.27,IT,1675532379
147,saint-augustin,51.226,-58.6502,259.23,259.23,100,12.81,CA,1675532379
148,inhambane,-23.865,35.3833,297.99,297.99,28,3.87,MZ,1675532379
149,yellowknife,62.456,-114.3525,244.44,244.44,75,2.57,CA,1675532380
150,aquiraz,-3.9014,-38.3911,304.2,304.2,60,5.42,BR,1675532151
151,mishan,45.55,131.8833,256.54,256.54,91,1.45,CN,1675532380
152,pinsk,52.1229,26.0951,269.56,269.56,98,5.12,BY,1675532381
153,zhangye,38.9342,100.4517,269.97,269.97,34,1.69,CN,1675532301
154,ankazoabo,-22.2833,44.5167,297.76,297.76,98,2.03,MG,1675532381
155,yichun,47.7,128.9,256.63,256.63,100,0.77,CN,1675532381
156,rincon,32.296,-81.2354,284.77,284.77,0,5.14,US,1675532189
157,chernyakhiv,50.4565,28.6702,267.81,267.81,100,4.14,UA,1675532382
158,novyy svit,47.8059,38.0211,272.5,272.5,98,1.62,UA,1675532382
159,berbera,10.4396,45.0143,296.79,296.79,45,1.81,SO,1675532383
160,benicarlo,40.4165,0.4271,284.98,284.98,0,1.19,ES,1675532383
161,khandyga,62.6667,135.6,230.48,230.48,88,0.75,RU,1675532383
162,matadi,-5.8167,13.45,298.36,298.36,82,3.55,CD,1675532384
163,pangnirtung,66.1451,-65.7125,236.15,236.15,0,1.03,CA,1675532384
164,kahului,20.8947,-156.47,296.95,296.95,40,8.75,US,1675532384
165,agno,45.9833,8.85,287.76,287.76,20,5.14,CH,1675532385
166,dunedin,-45.8742,170.5036,293.04,293.04,91,3.13,NZ,1675532382
167,haines junction,60.7522,-137.5108,261.12,261.12,100,0.0,CA,1675532356
168,port keats,-14.25,129.55,299.54,299.54,63,1.45,AU,1675532385
169,mogwase,-25.185,27.2665,296.64,296.64,67,3.03,ZA,1675532386
170,manokwari,-0.8667,134.0833,298.02,298.02,100,1.86,ID,1675532386
171,bubaque,11.2833,-15.8333,298.65,298.65,30,5.32,GW,1675532386
172,piacabucu,-10.4056,-36.4344,302.81,302.81,10,5.36,BR,1675532387
173,campbell river,50.0163,-125.2446,280.89,280.89,100,5.14,CA,1675532387
174,pampierstad,-27.7832,24.6877,301.52,301.52,70,4.21,ZA,1675532387
175,aklavik,68.2191,-135.0107,231.15,231.15,20,1.03,CA,1675532214
176,soure,-0.7167,-48.5233,300.33,300.33,100,3.75,BR,1675532388
177,jerico,5.7921,-75.786,296.27,296.27,85,1.18,CO,1675532288
178,griffith,41.5284,-87.4237,274.99,274.99,0,8.75,US,1675532388
179,san policarpo,12.1791,125.5072,299.04,299.04,78,6.76,PH,1675532388
180,parfenyevo,58.484,43.4088,267.84,267.84,99,1.66,RU,1675532389
181,airai,-8.9266,125.4092,288.88,288.88,100,0.99,TL,1675532205
182,urumqi,43.801,87.6005,264.68,264.68,100,1.0,CN,1675532389
183,la ronge,55.1001,-105.2842,259.29,259.29,100,0.0,CA,1675532389
184,constitucion,-35.3333,-72.4167,293.65,293.65,51,4.0,CL,1675532390
185,los llanos de aridane,28.6585,-17.9182,289.01,289.01,40,4.12,ES,1675532390
186,chuy,-33.6971,-53.4616,297.53,297.53,46,7.66,UY,1675532293
187,castro,-24.7911,-50.0119,296.68,296.68,92,5.02,BR,1675532390
188,varhaug,58.6147,5.6457,276.98,276.98,100,11.67,NO,1675532391
189,iqaluit,63.7506,-68.5145,238.0,238.0,20,7.2,CA,1675532254
190,jos,9.9167,8.9,297.63,297.63,78,2.45,NG,1675532391
191,kuytun,54.3419,101.5036,254.99,254.99,100,1.15,RU,1675532392
192,riyadh,24.6877,46.7219,289.23,289.23,0,5.58,SA,1675532375
193,guanica,17.9716,-66.908,299.65,299.65,28,8.07,PR,1675532392
194,puerto madero,14.7208,-92.4215,304.26,304.26,20,0.0,MX,1675532393
195,goderich,43.7501,-81.7165,266.99,266.99,82,11.32,CA,1675532210
196,gus-zheleznyy,55.0581,41.1656,271.1,271.1,100,1.8,RU,1675532393
